src/api/users.js: line 153, col 29, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 166, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 176, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 201, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 209, col 16, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 250, col 18, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 273, col 17, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 314, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 346, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 357, col 24, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 368, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 392, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 436, col 28, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 446, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 466, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 480, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 491, col 25, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 514, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 532, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 588, col 1, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 600, col 19, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 630, col 26, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 677, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 688, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 690, col 28, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 702, col 27, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 707, col 33, Confusing use of '!'.
src/api/users.js: line 719, col 23, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/users.js: line 723, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').

src/api/utils.js: line 13, col 21, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/utils.js: line 19, col 22, 'async functions' is only available in ES8 (use 'esversion: 8').
src/api/utils.js: line 21, col 20, 'async functions' is only available in ES8 (use 'esversion: 8').
